230,2.355,,,,,,,,
225,2.225,,,,,,,,
220,2.110,,,,,,,,
215,2.080,,,,,,,,
210,2.060,,,,,,,,
205,2.020,,,,,,,,
200,2.002,9.930,,,,,,,
195,2.001,7.130,,,,,,,
190,1.980,6.230,13.10,16.97,,,,,
185,1.945,6.001,10.23,11.93,12.45,,,,
180,1.915,5.630,8.740,9.985,10.40,,,,
175,1.885,5.330,8.015,8.865,9.145,,,,
170,1.905,5.180,7.475,8.140,8.385,,,,
165,1.885,5.010,6.880,7.660,7.865,,,,
160,1.895,4.955,6.795,7.275,7.440,,,,
155,1.895,4.925,6.580,7.025,7.165,,,15.60,15.77
150,1.905,4.935,6.470,6.840,6.975,,14.21,14.37,15.01
145,1.925,4.960,6.405,6.740,6.860,,13.19,13.83,14.41
140,1.930,5.050,6.385,6.680,6.790,,12.42,13.44,13.99
135,1.815,5.105,6.350,6.630,6.715,,11.77,13.05,13.67
130,2.000,5.150,6.400,6.640,6.730,,11.33,11.54,12.85
125,1.505,5.255,6.490,6.710,6.800,11.01,11.43,12.72,13.24
120,1.605,5.440,6.585,6.785,6.850,10.90,11.52,12.76,13.25
115,2.125,5.655,6.735,6.920,6.995,10.77,11.65,12.85,13.32
110,2.270,6.215,6.925,7.105,7.180,10.78,11.87,13.01,13.45
105,2.375,6.505,7.145,7.295,7.365,10.82,12.11,13.30,13.79
100,2.495,6.795,7.405,7.540,7.590,10.96,12.63,13.67,14.10
95,2.620,7.095,7.675,7.815,7.880,11.14,13.11,14.10,14.49
90,2.765,7.435,8.020,8.155,8.195,11.42,13.69,14.62,14.99
85,2.935,7.840,8.425,8.555,8.595,11.78,14.41,15.31,15.70
80,3.130,8.305,8.925,9.035,9.080,12.32,15.33,16.25,16.67
75,3.335,8.770,9.510,9.620,9.680,13.01,16.08,17.37,17.77
70,3.590,9.465,10.210,10.320,10.37,13.88,17.90,,
65,3.875,10.330,11.110,11.220,11.27,15.03,19.87,,
60,4.255,11.420,12.290,12.400,12.45,16.63,,,
55,4.700,12.900,13.910,14.010,14.08,18.32,,,
50,5.255,14.850,16.190,16.350,16.40,,,,
45,6.465,18.790,,,,,,,
40,7.720,,,,,,,,
35,9.825,,,,,,,,
30,14.450,,,,,,,,
